symbol,name,sector,weight
BYD,BOYD GAMING CORP,-,0.009957
C,CITIGROUP INC,-,0.332638
CABO,CABLE ONE INC,-,0.001966
CACI,CACI INTERNATIONAL INC  CL A,-,0.016218
CAG,CONAGRA BRANDS INC,-,0.00889
CAH,CARDINAL HEALTH INC,-,0.065243
CAKE,CHEESECAKE FACTORY INC/THE,-,0.003955
CALM,CAL MAINE FOODS INC,-,0.004059
CALX,CALIX INC,-,0.003126
CALY,CALLAWAY GOLF COMPANY,-,0.002341
CAR,AVIS BUDGET GROUP INC,-,0.004812
CARG,CARGURUS INC,-,0.00346
CARR,CARRIER GLOBAL CORP,-,0.077468
CART,MAPLEBEAR INC,-,0.009719
CASH,PATHWARD FINANCIAL INC,-,0.003812
CASY,CASEY S GENERAL STORES INC,-,0.037491
CAT,CATERPILLAR INC,-,0.618274
CATY,CATHAY GENERAL BANCORP,-,0.006295
CAVA,CAVA GROUP INC,-,0.008441
CB,CHUBB LTD,-,0.161538
CBOE,CBOE GLOBAL MARKETS INC,-,0.045102
CBRE,CBRE GROUP INC   A,-,0.053625
CBRL,CRACKER BARREL OLD COUNTRY,-,0.001112
CBSH,COMMERCE BANCSHARES INC,-,0.010189
CBT,CABOT CORP,-,0.006891
CBU,COMMUNITY FINANCIAL SYSTEM I,-,0.004891
CC,CHEMOURS CO/THE,-,0.005034
CCI,CROWN CASTLE INC,-,0.05872
CCK,CROWN HOLDINGS INC,-,0.016282
CCL,CARNIVAL CORP LTD,-,0.041118
CCOI,COGENT COMMUNICATIONS HOLDIN,-,0.001094
CCS,CENTURY COMMUNITIES INC,-,0.001821
CDNS,CADENCE DESIGN SYS INC,-,0.162221
CDP,COPT DEFENSE PROPERTIES,-,0.005469
CDW,CDW CORP/DE,-,0.027169
CE,CELANESE CORP,-,0.007939
CEG,CONSTELLATION ENERGY,-,0.117077
CELH,CELSIUS HOLDINGS INC,-,0.005994
CENT,CENTRAL GARDEN + PET CO,-,0.000803
CENTA,CENTRAL GARDEN AND PET CO A,-,0.002724
CENX,CENTURY ALUMINUM COMPANY,-,0.004817
CERT,CERTARA INC,-,0.00087
CF,CF INDUSTRIES HOLDINGS INC,-,0.024868
CFFN,CAPITOL FEDERAL FINANCIAL IN,-,0.001473
CFG,CITIZENS FINANCIAL GROUP,-,0.036113
CFR,CULLEN/FROST BANKERS INC,-,0.011728
CG,CARLYLE GROUP INC/THE,-,0.013727
CGNX,COGNEX CORP,-,0.016543
CHCO,CITY HOLDING CO,-,0.003037
CHD,CHURCH + DWIGHT CO INC,-,0.033408
CHDN,CHURCHILL DOWNS INC,-,0.008634
CHE,CHEMED CORP,-,0.009537
CHEF,CHEFS  WAREHOUSE INC/THE,-,0.002545
CHH,CHOICE HOTELS INTL INC,-,0.004472
CHRD,CHORD ENERGY CORP,-,0.012514
CHRW,C.H. ROBINSON WORLDWIDE INC,-,0.031331
CHTR,CHARTER COMMUNICATIONS INC A,-,0.016063
CHWY,CHEWY INC   CLASS A,-,0.005036
CI,THE CIGNA GROUP,-,0.105929
CIEN,CIENA CORP,-,0.101878
CINF,CINCINNATI FINANCIAL CORP,-,0.035504
CL,COLGATE PALMOLIVE CO,-,0.098636
CLB,CORE LABORATORIES INC,-,0.000898
CLF,CLEVELAND CLIFFS INC,-,0.01042
CLH,CLEAN HARBORS INC,-,0.020362
CLSK,CLEANSPARK INC,-,0.006712
CLX,CLOROX COMPANY,-,0.016043
CMC,COMMERCIAL METALS CO,-,0.01327
CMCSA,COMCAST CORP CLASS A,-,0.120792
CME,CME GROUP INC,-,0.133376
CMG,CHIPOTLE MEXICAN GRILL INC,-,0.050246
CMI,CUMMINS INC,-,0.130822
CMS,CMS ENERGY CORP,-,0.029362
CNC,CENTENE CORP,-,0.043874
CNH,CNH INDUSTRIAL NV,-,0.012394
CNK,CINEMARK HOLDINGS INC,-,0.005074
CNM,CORE + MAIN INC CLASS A,-,0.009906
CNMD,CONMED CORP,-,0.001496
CNO,CNO FINANCIAL GROUP INC,-,0.008952
CNP,CENTERPOINT ENERGY INC,-,0.039575
CNR,CORE NATURAL RESOURCES INC,-,0.008081
CNS,COHEN + STEERS INC,-,0.002818
CNX,CNX RESOURCES CORP,-,0.007752
CNXC,CONCENTRIX CORP,-,0.001789
CNXN,PC CONNECTION INC,-,0.001363
COCO,VITA COCO CO INC/THE,-,0.004624
COF,CAPITAL ONE FINANCIAL CORP,-,0.164029
COHR,COHERENT CORP,-,0.112503
COHU,COHU INC,-,0.003365
COIN,COINBASE GLOBAL INC  CLASS A,-,0.052915
COKE,COCA COLA CONSOLIDATED INC,-,0.010693
COLB,COLUMBIA BANKING SYSTEM INC,-,0.012213
